Group,Date,Actual,TestForecast,DataType
Network Services,2023-01-01,3918668.13,,Train
Network Services,2023-02-01,2842328.13,,Train
Network Services,2023-03-01,5477720.41,,Train
Network Services,2023-04-01,3271651.06,,Train
Network Services,2023-05-01,2791249.64,,Train
Network Services,2023-06-01,7362546.43,,Train
Network Services,2023-07-01,9772425.87,,Train
Network Services,2023-08-01,3303874.13,,Train
Network Services,2023-09-01,5055097.83,,Train
Network Services,2023-10-01,352599.08,,Train
Network Services,2023-11-01,5096289.04,,Train
Network Services,2023-12-01,5056532.97,,Train
Network Services,2024-01-01,2174938.38,,Train
Network Services,2024-02-01,3719392.46,,Train
Network Services,2024-03-01,4239122.52,,Train
Network Services,2024-04-01,5276190.05,,Train
Network Services,2024-05-01,5400537.71,,Train
Network Services,2024-06-01,5809041.36,4576551.852550892,Test
Network Services,2024-07-01,5788994.76,4686041.562661647,Test
Network Services,2024-08-01,4931405.36,4798150.711381724,Test
Network Services,2024-09-01,3701003.19,4912941.966322728,Test
Network Services,2024-10-01,6347379.84,5030479.494360089,Test
Network Services,2024-11-01,4336426.8,5150828.997501539,Test
Network Services,2024-12-01,4254536.99,5274057.749613715,Test
Network Services,2025-01-01,2755736.7399999998,5400234.6340274075,Test
Network Services,2025-02-01,3736449.5100000002,5529430.182042472,Test
Network Services,2025-03-01,3822474.58,5661716.612353982,Test
Network Services,2025-04-01,2895849.41,5797167.871421519,Test
Network Services,2025-05-01,4259795.95,5935859.67480435,Test
